CITY,UF,IGR,CITY_STANDARD
Alta Floresta D'Oeste,RO,Cacoal,ALTA FLORESTA DOESTE
Alto Alegre dos Parecis,RO,Cacoal,ALTO ALEGRE DOS PARECIS
Alto Paraíso,RO,Ariquemes,ALTO PARAISO
Alvorada D'Oeste,RO,Ji-Paraná,ALVORADA DOESTE
Ariquemes,RO,Ariquemes,ARIQUEMES
Buritis,RO,Ariquemes,BURITIS
Cabixi,RO,Vilhena,CABIXI
Cacaulândia,RO,Ariquemes,CACAULANDIA
Cacoal,RO,Cacoal,CACOAL
Campo Novo de Rondônia,RO,Ariquemes,CAMPO NOVO DE RONDONIA
Candeias do Jamari,RO,Porto Velho,CANDEIAS DO JAMARI
Castanheiras,RO,Cacoal,CASTANHEIRAS
Cerejeiras,RO,Vilhena,CEREJEIRAS
Chupinguaia,RO,Vilhena,CHUPINGUAIA
Colorado do Oeste,RO,Vilhena,COLORADO DO OESTE
Corumbiara,RO,Vilhena,CORUMBIARA
Costa Marques,RO,Ji-Paraná,COSTA MARQUES
Cujubim,RO,Ariquemes,CUJUBIM
Espigão D'Oeste,RO,Cacoal,ESPIGAO DOESTE
Governador Jorge Teixeira,RO,Jaru,GOVERNADOR JORGE TEIXEIRA
Guajará-Mirim,RO,Porto Velho,GUAJARAMIRIM
Itapuã do Oeste,RO,Porto Velho,ITAPUA DO OESTE
Jaru,RO,Jaru,JARU
Ji-Paraná,RO,Ji-Paraná,JIPARANA
Machadinho D'Oeste,RO,Jaru,MACHADINHO DOESTE
Ministro Andreazza,RO,Cacoal,MINISTRO ANDREAZZA
Mirante da Serra,RO,Ji-Paraná,MIRANTE DA SERRA
Monte Negro,RO,Ariquemes,MONTE NEGRO
Nova Brasilândia D'Oeste,RO,Cacoal,NOVA BRASILANDIA DOESTE
Nova Mamoré,RO,Porto Velho,NOVA MAMORE
Nova União,RO,Ji-Paraná,NOVA UNIAO
Novo Horizonte do Oeste,RO,Cacoal,NOVO HORIZONTE DO OESTE
Ouro Preto do Oeste,RO,Ji-Paraná,OURO PRETO DO OESTE
Parecis,RO,Cacoal,PARECIS
Pimenta Bueno,RO,Cacoal,PIMENTA BUENO
Pimenteiras do Oeste,RO,Vilhena,PIMENTEIRAS DO OESTE
Porto Velho,RO,Porto Velho,PORTO VELHO
Presidente Médici,RO,Ji-Paraná,PRESIDENTE MEDICI
Primavera de Rondônia,RO,Cacoal,PRIMAVERA DE RONDONIA
Rio Crespo,RO,Ariquemes,RIO CRESPO
Rolim de Moura,RO,Cacoal,ROLIM DE MOURA
Santa Luzia D'Oeste,RO,Cacoal,SANTA LUZIA DOESTE
São Felipe D'Oeste,RO,Cacoal,SAO FELIPE DOESTE
São Francisco do Guaporé,RO,Ji-Paraná,SAO FRANCISCO DO GUAPORE
São Miguel do Guaporé,RO,Ji-Paraná,SAO MIGUEL DO GUAPORE
Seringueiras,RO,Ji-Paraná,SERINGUEIRAS
Teixeirópolis,RO,Ji-Paraná,TEIXEIROPOLIS
Theobroma,RO,Jaru,THEOBROMA
Urupá,RO,Ji-Paraná,URUPA
Vale do Anari,RO,Jaru,VALE DO ANARI
Vale do Paraíso,RO,Ji-Paraná,VALE DO PARAISO
Vilhena,RO,Vilhena,VILHENA
Acrelândia,AC,Rio Branco,ACRELANDIA
Assis Brasil,AC,Brasiléia,ASSIS BRASIL
Brasiléia,AC,Brasiléia,BRASILEIA
Bujari,AC,Rio Branco,BUJARI
Capixaba,AC,Rio Branco,CAPIXABA
Cruzeiro do Sul,AC,Cruzeiro do Sul,CRUZEIRO DO SUL
Epitaciolândia,AC,Brasiléia,EPITACIOLANDIA
Feijó,AC,Tarauacá,FEIJO
Jordão,AC,Tarauacá,JORDAO
Mâncio Lima,AC,Cruzeiro do Sul,MANCIO LIMA
Manoel Urbano,AC,Sena Madureira,MANOEL URBANO
Marechal Thaumaturgo,AC,Cruzeiro do Sul,MARECHAL THAUMATURGO
Plácido de Castro,AC,Rio Branco,PLACIDO DE CASTRO
Porto Acre,AC,Rio Branco,PORTO ACRE
Porto Walter,AC,Cruzeiro do Sul,PORTO WALTER
Rio Branco,AC,Rio Branco,RIO BRANCO
Rodrigues Alves,AC,Cruzeiro do Sul,RODRIGUES ALVES
Santa Rosa do Purus,AC,Sena Madureira,SANTA ROSA DO PURUS
Sena Madureira,AC,Sena Madureira,SENA MADUREIRA
Senador Guiomard,AC,Rio Branco,SENADOR GUIOMARD
Tarauacá,AC,Tarauacá,TARAUACA
Xapuri,AC,Brasiléia,XAPURI
Alvarães,AM,Tefé,ALVARAES
Amaturá,AM,Tabatinga,AMATURA
Anamã,AM,Manacapuru,ANAMA
Anori,AM,Coari,ANORI
Apuí,AM,Manicoré,APUI
Atalaia do Norte,AM,Tabatinga,ATALAIA DO NORTE
Autazes,AM,Manaus,AUTAZES
Barcelos,AM,São Gabriel da Cachoeira,BARCELOS
Barreirinha,AM,Parintins,BARREIRINHA
Benjamin Constant,AM,Tabatinga,BENJAMIN CONSTANT
Beruri,AM,Coari,BERURI
Boa Vista do Ramos,AM,Parintins,BOA VISTA DO RAMOS
Boca do Acre,AM,Lábrea,BOCA DO ACRE
Borba,AM,Manaus,BORBA
Caapiranga,AM,Manacapuru,CAAPIRANGA
Canutama,AM,Lábrea,CANUTAMA
Carauari,AM,Tefé,CARAUARI
Careiro,AM,Manaus,CAREIRO
Careiro da Várzea,AM,Manaus,CAREIRO DA VARZEA
Coari,AM,Coari,COARI
Codajás,AM,Coari,CODAJAS
Eirunepé,AM,Eirunepé,EIRUNEPE
Envira,AM,Eirunepé,ENVIRA
Fonte Boa,AM,Tefé,FONTE BOA
Guajará,AM,Eirunepé,GUAJARA
Humaitá,AM,Manicoré,HUMAITA
Ipixuna,AM,Eirunepé,IPIXUNA
Iranduba,AM,Manaus,IRANDUBA
Itacoatiara,AM,Itacoatiara,ITACOATIARA
Itamarati,AM,Eirunepé,ITAMARATI
Itapiranga,AM,Itacoatiara,ITAPIRANGA
Japurá,AM,Tefé,JAPURA
Juruá,AM,Tefé,JURUA
Jutaí,AM,Tefé,JUTAI
Lábrea,AM,Lábrea,LABREA
Manacapuru,AM,Manacapuru,MANACAPURU
Manaquiri,AM,Manaus,MANAQUIRI
Manaus,AM,Manaus,MANAUS
Manicoré,AM,Manicoré,MANICORE
Maraã,AM,Tefé,MARAA
Maués,AM,Parintins,MAUES
Nhamundá,AM,Parintins,NHAMUNDA
Nova Olinda do Norte,AM,Manaus,NOVA OLINDA DO NORTE
Novo Airão,AM,Manacapuru,NOVO AIRAO
Novo Aripuanã,AM,Manicoré,NOVO ARIPUANA
Parintins,AM,Parintins,PARINTINS
Pauini,AM,Lábrea,PAUINI
Presidente Figueiredo,AM,Manaus,PRESIDENTE FIGUEIREDO
Rio Preto da Eva,AM,Manaus,RIO PRETO DA EVA
Santa Isabel do Rio Negro,AM,São Gabriel da Cachoeira,SANTA ISABEL DO RIO NEGRO
Santo Antônio do Içá,AM,Tabatinga,SANTO ANTONIO DO ICA
São Gabriel da Cachoeira,AM,São Gabriel da Cachoeira,SAO GABRIEL DA CACHOEIRA
São Paulo de Olivença,AM,Tabatinga,SAO PAULO DE OLIVENCA
São Sebastião do Uatumã,AM,Itacoatiara,SAO SEBASTIAO DO UATUMA
Silves,AM,Itacoatiara,SILVES
Tabatinga,AM,Tabatinga,TABATINGA
Tapauá,AM,Lábrea,TAPAUA
Tefé,AM,Tefé,TEFE
Tonantins,AM,Tabatinga,TONANTINS
Uarini,AM,Tefé,UARINI
Urucará,AM,Itacoatiara,URUCARA
Urucurituba,AM,Itacoatiara,URUCURITUBA
Alto Alegre,RR,Boa Vista,ALTO ALEGRE
Amajari,RR,Pacaraima,AMAJARI
Boa Vista,RR,Boa Vista,BOA VISTA
Bonfim,RR,Boa Vista,BONFIM
Cantá,RR,Boa Vista,CANTA
Caracaraí,RR,Caracaraí,CARACARAI
Caroebe,RR,Rorainópolis,CAROEBE
Iracema,RR,Caracaraí,IRACEMA
Mucajaí,RR,Boa Vista,MUCAJAI
Normandia,RR,Pacaraima,NORMANDIA
Pacaraima,RR,Pacaraima,PACARAIMA
Rorainópolis,RR,Rorainópolis,RORAINOPOLIS
São João da Baliza,RR,Rorainópolis,SAO JOAO DA BALIZA
São Luiz,RR,Rorainópolis,SAO LUIZ
Uiramutã,RR,Pacaraima,UIRAMUTA
Abaetetuba,PA,Abaetetuba,ABAETETUBA
Abel Figueiredo,PA,Marabá,ABEL FIGUEIREDO
Acará,PA,Belém,ACARA
Afuá,PA,Breves,AFUA
Água Azul do Norte,PA,Xinguara,AGUA AZUL DO NORTE
Alenquer,PA,Santarém,ALENQUER
Almeirim,PA,Almeirim - Porto de Moz,ALMEIRIM
Altamira,PA,Altamira,ALTAMIRA
Anajás,PA,Breves,ANAJAS
Ananindeua,PA,Belém,ANANINDEUA
Anapu,PA,Altamira,ANAPU
Augusto Corrêa,PA,Bragança,AUGUSTO CORREA
Aurora do Pará,PA,Paragominas,AURORA DO PARA
Aveiro,PA,Itaituba,AVEIRO
Bagre,PA,Breves,BAGRE
Baião,PA,Tucuruí,BAIAO
Bannach,PA,Redenção,BANNACH
Barcarena,PA,Belém,BARCARENA
Belém,PA,Belém,BELEM
Belterra,PA,Santarém,BELTERRA
Benevides,PA,Belém,BENEVIDES
Bom Jesus do Tocantins,PA,Marabá,BOM JESUS DO TOCANTINS
Bonito,PA,Capanema,BONITO
Bragança,PA,Bragança,BRAGANCA
Brasil Novo,PA,Altamira,BRASIL NOVO
Brejo Grande do Araguaia,PA,Marabá,BREJO GRANDE DO ARAGUAIA
Breu Branco,PA,Tucuruí,BREU BRANCO
Breves,PA,Breves,BREVES
Bujaru,PA,Belém,BUJARU
Cachoeira do Arari,PA,Soure-Salvaterra,CACHOEIRA DO ARARI
Cachoeira do Piriá,PA,Bragança,CACHOEIRA DO PIRIA
Cametá,PA,Cametá,CAMETA
Canaã dos Carajás,PA,Parauapebas,CANAA DOS CARAJAS
Capanema,PA,Capanema,CAPANEMA
Capitão Poço,PA,Capitão Poço,CAPITAO POCO
Castanhal,PA,Castanhal,CASTANHAL
Chaves,PA,Breves,CHAVES
Colares,PA,Belém,COLARES
Conceição do Araguaia,PA,Redenção,CONCEICAO DO ARAGUAIA
Concórdia do Pará,PA,Belém,CONCORDIA DO PARA
Cumaru do Norte,PA,Redenção,CUMARU DO NORTE
Curionópolis,PA,Parauapebas,CURIONOPOLIS
Curralinho,PA,Breves,CURRALINHO
Curuá,PA,Oriximiná,CURUA
Curuçá,PA,Castanhal,CURUCA
Dom Eliseu,PA,Paragominas,DOM ELISEU
Eldorado do Carajás,PA,Parauapebas,ELDORADO DO CARAJAS
Faro,PA,Oriximiná,FARO
Floresta do Araguaia,PA,Redenção,FLORESTA DO ARAGUAIA
Garrafão do Norte,PA,Capitão Poço,GARRAFAO DO NORTE
Goianésia do Pará,PA,Tucuruí,GOIANESIA DO PARA
Gurupá,PA,Breves,GURUPA
Igarapé-Açu,PA,Castanhal,IGARAPEACU
Igarapé-Miri,PA,Abaetetuba,IGARAPEMIRI
Inhangapi,PA,Castanhal,INHANGAPI
Ipixuna do Pará,PA,Paragominas,IPIXUNA DO PARA
Irituia,PA,Castanhal,IRITUIA
Itaituba,PA,Itaituba,ITAITUBA
Itupiranga,PA,Marabá,ITUPIRANGA
Jacareacanga,PA,Itaituba,JACAREACANGA
Jacundá,PA,Marabá,JACUNDA
Juruti,PA,Oriximiná,JURUTI
Limoeiro do Ajuru,PA,Cametá,LIMOEIRO DO AJURU
Mãe do Rio,PA,Paragominas,MAE DO RIO
Magalhães Barata,PA,Castanhal,MAGALHAES BARATA
Marabá,PA,Marabá,MARABA
Maracanã,PA,Castanhal,MARACANA
Marapanim,PA,Castanhal,MARAPANIM
Marituba,PA,Belém,MARITUBA
Medicilândia,PA,Altamira,MEDICILANDIA
Melgaço,PA,Breves,MELGACO
Mocajuba,PA,Cametá,MOCAJUBA
Moju,PA,Abaetetuba,MOJU
Mojuí dos Campos,PA,Santarém,MOJUI DOS CAMPOS
Monte Alegre,PA,Santarém,MONTE ALEGRE
Muaná,PA,Soure-Salvaterra,MUANA
Nova Esperança do Piriá,PA,Capitão Poço,NOVA ESPERANCA DO PIRIA
Nova Ipixuna,PA,Marabá,NOVA IPIXUNA
Nova Timboteua,PA,Capanema,NOVA TIMBOTEUA
Novo Progresso,PA,Itaituba,NOVO PROGRESSO
Novo Repartimento,PA,Tucuruí,NOVO REPARTIMENTO
Óbidos,PA,Oriximiná,OBIDOS
Oeiras do Pará,PA,Cametá,OEIRAS DO PARA
Oriximiná,PA,Oriximiná,ORIXIMINA
Ourém,PA,Capitão Poço,OUREM
Ourilândia do Norte,PA,Tucumã - São Félix do Xingu,OURILANDIA DO NORTE
Pacajá,PA,Tucuruí,PACAJA
Palestina do Pará,PA,Marabá,PALESTINA DO PARA
Paragominas,PA,Paragominas,PARAGOMINAS
Parauapebas,PA,Parauapebas,PARAUAPEBAS
Pau D'Arco,PA,Redenção,PAU DARCO
Peixe-Boi,PA,Capanema,PEIXEBOI
Piçarra,PA,Marabá,PICARRA
Placas,PA,Itaituba,PLACAS
Ponta de Pedras,PA,Soure-Salvaterra,PONTA DE PEDRAS
Portel,PA,Breves,PORTEL
Porto de Moz,PA,Almeirim - Porto de Moz,PORTO DE MOZ
Prainha,PA,Santarém,PRAINHA
Primavera,PA,Capanema,PRIMAVERA
Quatipuru,PA,Capanema,QUATIPURU
Redenção,PA,Redenção,REDENCAO
Rio Maria,PA,Xinguara,RIO MARIA
Rondon do Pará,PA,Marabá,RONDON DO PARA
Rurópolis,PA,Itaituba,RUROPOLIS
Salinópolis,PA,Capanema,SALINOPOLIS
Salvaterra,PA,Soure-Salvaterra,SALVATERRA
Santa Bárbara do Pará,PA,Belém,SANTA BARBARA DO PARA
Santa Cruz do Arari,PA,Soure-Salvaterra,SANTA CRUZ DO ARARI
Santa Izabel do Pará,PA,Belém,SANTA IZABEL DO PARA
Santa Luzia do Pará,PA,Bragança,SANTA LUZIA DO PARA
Santa Maria das Barreiras,PA,Redenção,SANTA MARIA DAS BARREIRAS
Santa Maria do Pará,PA,Castanhal,SANTA MARIA DO PARA
Santana do Araguaia,PA,Redenção,SANTANA DO ARAGUAIA
Santarém,PA,Santarém,SANTAREM
Santarém Novo,PA,Capanema,SANTAREM NOVO
Santo Antônio do Tauá,PA,Belém,SANTO ANTONIO DO TAUA
São Caetano de Odivelas,PA,Belém,SAO CAETANO DE ODIVELAS
São Domingos do Araguaia,PA,Marabá,SAO DOMINGOS DO ARAGUAIA
São Domingos do Capim,PA,Castanhal,SAO DOMINGOS DO CAPIM
São Félix do Xingu,PA,Tucumã - São Félix do Xingu,SAO FELIX DO XINGU
São Francisco do Pará,PA,Castanhal,SAO FRANCISCO DO PARA
São Geraldo do Araguaia,PA,Marabá,SAO GERALDO DO ARAGUAIA
São João da Ponta,PA,Castanhal,SAO JOAO DA PONTA
São João de Pirabas,PA,Capanema,SAO JOAO DE PIRABAS
São João do Araguaia,PA,Marabá,SAO JOAO DO ARAGUAIA
São Miguel do Guamá,PA,Castanhal,SAO MIGUEL DO GUAMA
São Sebastião da Boa Vista,PA,Breves,SAO SEBASTIAO DA BOA VISTA
Sapucaia,PA,Xinguara,SAPUCAIA
Senador José Porfírio,PA,Altamira,SENADOR JOSE PORFIRIO
Soure,PA,Soure-Salvaterra,SOURE
Tailândia,PA,Abaetetuba,TAILANDIA
Terra Alta,PA,Castanhal,TERRA ALTA
Terra Santa,PA,Oriximiná,TERRA SANTA
Tomé-Açu,PA,Belém,TOMEACU
Tracuateua,PA,Bragança,TRACUATEUA
Trairão,PA,Itaituba,TRAIRAO
Tucumã,PA,Tucumã - São Félix do Xingu,TUCUMA
Tucuruí,PA,Tucuruí,TUCURUI
Ulianópolis,PA,Paragominas,ULIANOPOLIS
Uruará,PA,Altamira,URUARA
Vigia,PA,Belém,VIGIA
Viseu,PA,Bragança,VISEU
Vitória do Xingu,PA,Altamira,VITORIA DO XINGU
Xinguara,PA,Xinguara,XINGUARA
Amapá,AP,Oiapoque,AMAPA
Calçoene,AP,Oiapoque,CALCOENE
Cutias,AP,Oiapoque,CUTIAS
Ferreira Gomes,AP,Porto Grande,FERREIRA GOMES
Itaubal,AP,Macapá,ITAUBAL
Laranjal do Jari,AP,Laranjal do Jari,LARANJAL DO JARI
Macapá,AP,Macapá,MACAPA
Mazagão,AP,Macapá,MAZAGAO
Oiapoque,AP,Oiapoque,OIAPOQUE
Pedra Branca do Amapari,AP,Porto Grande,PEDRA BRANCA DO AMAPARI
Porto Grande,AP,Porto Grande,PORTO GRANDE
Pracuúba,AP,Oiapoque,PRACUUBA
Santana,AP,Macapá,SANTANA
Serra do Navio,AP,Porto Grande,SERRA DO NAVIO
Tartarugalzinho,AP,Oiapoque,TARTARUGALZINHO
Vitória do Jari,AP,Laranjal do Jari,VITORIA DO JARI
Abreulândia,TO,Paraíso do Tocantins,ABREULANDIA
Aguiarnópolis,TO,Tocantinópolis,AGUIARNOPOLIS
Aliança do Tocantins,TO,Gurupi,ALIANCA DO TOCANTINS
Almas,TO,Dianópolis,ALMAS
Alvorada,TO,Gurupi,ALVORADA
Ananás,TO,Araguaína,ANANAS
Angico,TO,Araguaína,ANGICO
Aparecida do Rio Negro,TO,Palmas,APARECIDA DO RIO NEGRO
Aragominas,TO,Araguaína,ARAGOMINAS
Araguacema,TO,Paraíso do Tocantins,ARAGUACEMA
Araguaçu,TO,Gurupi,ARAGUACU
Araguaína,TO,Araguaína,ARAGUAINA
Araguanã,TO,Araguaína,ARAGUANA
Araguatins,TO,Araguatins,ARAGUATINS
Arapoema,TO,Araguaína,ARAPOEMA
Arraias,TO,Dianópolis,ARRAIAS
Augustinópolis,TO,Araguatins,AUGUSTINOPOLIS
Aurora do Tocantins,TO,Dianópolis,AURORA DO TOCANTINS
Axixá do Tocantins,TO,Araguatins,AXIXA DO TOCANTINS
Babaçulândia,TO,Araguaína,BABACULANDIA
Bandeirantes do Tocantins,TO,Colinas do Tocantins,BANDEIRANTES DO TOCANTINS
Barra do Ouro,TO,Araguaína,BARRA DO OURO
Barrolândia,TO,Paraíso do Tocantins,BARROLANDIA
Bernardo Sayão,TO,Colinas do Tocantins,BERNARDO SAYAO
Bom Jesus do Tocantins,TO,Guaraí,BOM JESUS DO TOCANTINS
Brasilândia do Tocantins,TO,Colinas do Tocantins,BRASILANDIA DO TOCANTINS
Brejinho de Nazaré,TO,Porto Nacional,BREJINHO DE NAZARE
Buriti do Tocantins,TO,Araguatins,BURITI DO TOCANTINS
Cachoeirinha,TO,Tocantinópolis,CACHOEIRINHA
Campos Lindos,TO,Araguaína,CAMPOS LINDOS
Cariri do Tocantins,TO,Gurupi,CARIRI DO TOCANTINS
Carmolândia,TO,Araguaína,CARMOLANDIA
Carrasco Bonito,TO,Araguatins,CARRASCO BONITO
Caseara,TO,Paraíso do Tocantins,CASEARA
Centenário,TO,Guaraí,CENTENARIO
Chapada da Natividade,TO,Porto Nacional,CHAPADA DA NATIVIDADE
Chapada de Areia,TO,Paraíso do Tocantins,CHAPADA DE AREIA
Colinas do Tocantins,TO,Colinas do Tocantins,COLINAS DO TOCANTINS
Colméia,TO,Guaraí,COLMEIA
Combinado,TO,Dianópolis,COMBINADO
Conceição do Tocantins,TO,Dianópolis,CONCEICAO DO TOCANTINS
Couto Magalhães,TO,Guaraí,COUTO MAGALHAES
Cristalândia,TO,Paraíso do Tocantins,CRISTALANDIA
Crixás do Tocantins,TO,Gurupi,CRIXAS DO TOCANTINS
Darcinópolis,TO,Araguaína,DARCINOPOLIS
Dianópolis,TO,Dianópolis,DIANOPOLIS
Divinópolis do Tocantins,TO,Paraíso do Tocantins,DIVINOPOLIS DO TOCANTINS
Dois Irmãos do Tocantins,TO,Miracema do Tocantins,DOIS IRMAOS DO TOCANTINS
Dueré,TO,Gurupi,DUERE
Esperantina,TO,Araguatins,ESPERANTINA
Fátima,TO,Porto Nacional,FATIMA
Figueirópolis,TO,Gurupi,FIGUEIROPOLIS
Filadélfia,TO,Araguaína,FILADELFIA
Formoso do Araguaia,TO,Gurupi,FORMOSO DO ARAGUAIA
Goianorte,TO,Guaraí,GOIANORTE
Goiatins,TO,Araguaína,GOIATINS
Guaraí,TO,Guaraí,GUARAI
Gurupi,TO,Gurupi,GURUPI
Ipueiras,TO,Porto Nacional,IPUEIRAS
Itacajá,TO,Colinas do Tocantins,ITACAJA
Itaguatins,TO,Araguatins,ITAGUATINS
Itapiratins,TO,Colinas do Tocantins,ITAPIRATINS
Itaporã do Tocantins,TO,Guaraí,ITAPORA DO TOCANTINS
Jaú do Tocantins,TO,Gurupi,JAU DO TOCANTINS
Juarina,TO,Colinas do Tocantins,JUARINA
Lagoa da Confusão,TO,Paraíso do Tocantins,LAGOA DA CONFUSAO
Lagoa do Tocantins,TO,Palmas,LAGOA DO TOCANTINS
Lajeado,TO,Palmas,LAJEADO
Lavandeira,TO,Dianópolis,LAVANDEIRA
Lizarda,TO,Palmas,LIZARDA
Luzinópolis,TO,Tocantinópolis,LUZINOPOLIS
Marianópolis do Tocantins,TO,Paraíso do Tocantins,MARIANOPOLIS DO TOCANTINS
Mateiros,TO,Palmas,MATEIROS
Maurilândia do Tocantins,TO,Tocantinópolis,MAURILANDIA DO TOCANTINS
Miracema do Tocantins,TO,Miracema do Tocantins,MIRACEMA DO TOCANTINS
Miranorte,TO,Miracema do Tocantins,MIRANORTE
Monte do Carmo,TO,Porto Nacional,MONTE DO CARMO
Monte Santo do Tocantins,TO,Paraíso do Tocantins,MONTE SANTO DO TOCANTINS
Muricilândia,TO,Araguaína,MURICILANDIA
Natividade,TO,Porto Nacional,NATIVIDADE
Nazaré,TO,Tocantinópolis,NAZARE
Nova Olinda,TO,Araguaína,NOVA OLINDA
Nova Rosalândia,TO,Paraíso do Tocantins,NOVA ROSALANDIA
Novo Acordo,TO,Palmas,NOVO ACORDO
Novo Alegre,TO,Dianópolis,NOVO ALEGRE
Novo Jardim,TO,Dianópolis,NOVO JARDIM
Oliveira de Fátima,TO,Porto Nacional,OLIVEIRA DE FATIMA
Palmas,TO,Palmas,PALMAS
Palmeirante,TO,Colinas do Tocantins,PALMEIRANTE
Palmeiras do Tocantins,TO,Tocantinópolis,PALMEIRAS DO TOCANTINS
Palmeirópolis,TO,Gurupi,PALMEIROPOLIS
Paraíso do Tocantins,TO,Paraíso do Tocantins,PARAISO DO TOCANTINS
Paranã,TO,Gurupi,PARANA
Pau D'Arco,TO,Araguaína,PAU DARCO
Pedro Afonso,TO,Guaraí,PEDRO AFONSO
Peixe,TO,Gurupi,PEIXE
Pequizeiro,TO,Guaraí,PEQUIZEIRO
Pindorama do Tocantins,TO,Porto Nacional,PINDORAMA DO TOCANTINS
Piraquê,TO,Araguaína,PIRAQUE
Pium,TO,Paraíso do Tocantins,PIUM
Ponte Alta do Bom Jesus,TO,Dianópolis,PONTE ALTA DO BOM JESUS
Ponte Alta do Tocantins,TO,Porto Nacional,PONTE ALTA DO TOCANTINS
Porto Alegre do Tocantins,TO,Dianópolis,PORTO ALEGRE DO TOCANTINS
Porto Nacional,TO,Porto Nacional,PORTO NACIONAL
Praia Norte,TO,Araguatins,PRAIA NORTE
Presidente Kennedy,TO,Guaraí,PRESIDENTE KENNEDY
Pugmil,TO,Paraíso do Tocantins,PUGMIL
Recursolândia,TO,Guaraí,RECURSOLANDIA
Riachinho,TO,Araguaína,RIACHINHO
Rio da Conceição,TO,Dianópolis,RIO DA CONCEICAO
Rio dos Bois,TO,Miracema do Tocantins,RIO DOS BOIS
Rio Sono,TO,Palmas,RIO SONO
Sampaio,TO,Araguatins,SAMPAIO
Sandolândia,TO,Gurupi,SANDOLANDIA
Santa Fé do Araguaia,TO,Araguaína,SANTA FE DO ARAGUAIA
Santa Maria do Tocantins,TO,Guaraí,SANTA MARIA DO TOCANTINS
Santa Rita do Tocantins,TO,Porto Nacional,SANTA RITA DO TOCANTINS
Santa Rosa do Tocantins,TO,Porto Nacional,SANTA ROSA DO TOCANTINS
Santa Tereza do Tocantins,TO,Palmas,SANTA TEREZA DO TOCANTINS
Santa Terezinha do Tocantins,TO,Tocantinópolis,SANTA TEREZINHA DO TOCANTINS
São Bento do Tocantins,TO,Araguatins,SAO BENTO DO TOCANTINS
São Félix do Tocantins,TO,Palmas,SAO FELIX DO TOCANTINS
São Miguel do Tocantins,TO,Araguatins,SAO MIGUEL DO TOCANTINS
São Salvador do Tocantins,TO,Gurupi,SAO SALVADOR DO TOCANTINS
São Sebastião do Tocantins,TO,Araguatins,SAO SEBASTIAO DO TOCANTINS
São Valério,TO,Gurupi,SAO VALERIO
Silvanópolis,TO,Porto Nacional,SILVANOPOLIS
Sítio Novo do Tocantins,TO,Araguatins,SITIO NOVO DO TOCANTINS
Sucupira,TO,Gurupi,SUCUPIRA
Tabocão,TO,Guaraí,TABOCAO
Taguatinga,TO,Dianópolis,TAGUATINGA
Taipas do Tocantins,TO,Dianópolis,TAIPAS DO TOCANTINS
Talismã,TO,Gurupi,TALISMA
Tocantínia,TO,Miracema do Tocantins,TOCANTINIA
Tocantinópolis,TO,Tocantinópolis,TOCANTINOPOLIS
Tupirama,TO,Guaraí,TUPIRAMA
Tupiratins,TO,Colinas do Tocantins,TUPIRATINS
Wanderlândia,TO,Araguaína,WANDERLANDIA
Xambioá,TO,Araguaína,XAMBIOA
Açailândia,MA,Açailândia,ACAILANDIA
Afonso Cunha,MA,Caxias,AFONSO CUNHA
Água Doce do Maranhão,MA,Tutóia - Araioses,AGUA DOCE DO MARANHAO
Alcântara,MA,São Luís,ALCANTARA
Aldeias Altas,MA,Caxias,ALDEIAS ALTAS
Altamira do Maranhão,MA,Bacabal,ALTAMIRA DO MARANHAO
Alto Alegre do Maranhão,MA,Bacabal,ALTO ALEGRE DO MARANHAO
Alto Alegre do Pindaré,MA,Santa Inês,ALTO ALEGRE DO PINDARE
Alto Parnaíba,MA,Balsas,ALTO PARNAIBA
Amapá do Maranhão,MA,Governador Nunes Freire,AMAPA DO MARANHAO
Amarante do Maranhão,MA,Imperatriz,AMARANTE DO MARANHAO
Anajatuba,MA,Itapecuru Mirim,ANAJATUBA
Anapurus,MA,Chapadinha,ANAPURUS
Apicum-Açu,MA,Cururupu,APICUMACU
Araguanã,MA,Santa Inês,ARAGUANA
Araioses,MA,Tutóia - Araioses,ARAIOSES
Arame,MA,Barra do Corda,ARAME
Arari,MA,Viana,ARARI
Axixá,MA,São Luís,AXIXA
Bacabal,MA,Bacabal,BACABAL
Bacabeira,MA,São Luís,BACABEIRA
Bacuri,MA,Cururupu,BACURI
Bacurituba,MA,Pinheiro,BACURITUBA
Balsas,MA,Balsas,BALSAS
Barão de Grajaú,MA,São João dos Patos,BARAO DE GRAJAU
Barra do Corda,MA,Barra do Corda,BARRA DO CORDA
Barreirinhas,MA,Barreirinhas,BARREIRINHAS
Bela Vista do Maranhão,MA,Santa Inês,BELA VISTA DO MARANHAO
Belágua,MA,Chapadinha,BELAGUA
Benedito Leite,MA,São João dos Patos,BENEDITO LEITE
Bequimão,MA,Pinheiro,BEQUIMAO
Bernardo do Mearim,MA,Pedreiras,BERNARDO DO MEARIM
Boa Vista do Gurupi,MA,Governador Nunes Freire,BOA VISTA DO GURUPI
Bom Jardim,MA,Santa Inês,BOM JARDIM
Bom Jesus das Selvas,MA,Açailândia,BOM JESUS DAS SELVAS
Bom Lugar,MA,Bacabal,BOM LUGAR
Brejo,MA,Chapadinha,BREJO
Brejo de Areia,MA,Bacabal,BREJO DE AREIA
Buriti,MA,Chapadinha,BURITI
Buriti Bravo,MA,Timon,BURITI BRAVO
Buriticupu,MA,Açailândia,BURITICUPU
Buritirana,MA,Imperatriz,BURITIRANA
